"sku","short_description","description","meta_description"
"IL-CONFIG-025","<p>La Ideal Lux Comfort-2 PT LED Lampada Da Terra per Interni è una lampada da terra Ideal Lux dal design curato, ideale per illuminare e arredare ambienti interni con una luce elegante e funzionale. Presenta dimensioni L 330 × H 1970 × P 1200 mm, base 330 × 580 mm, sorgente LED integrata da 76W, alimentazione 220-240 V AC, protezione IP20, classe 1, struttura in metallo, alluminio e materiale plastico e peso netto 19,5 kg. Le configurazioni disponibili comprendono Bianco 2700K e Nero 2700K, così da scegliere la versione più adatta allo stile dell’ambiente e alle esigenze di illuminazione.</p>","<p>La Ideal Lux Comfort-2 PT LED Lampada Da Terra per Interni è una lampada da terra Ideal Lux pensata per offrire un punto luce decorativo e funzionale, capace di completare l’arredo con una presenza elegante e facilmente integrabile in diversi contesti. Il suo design la rende adatta a chi cerca una lampada da terra moderna per illuminare con stile ambienti domestici e professionali.</p><p>La collezione Comfort valorizza linee, finiture e proporzioni pensate per inserirsi con naturalezza nell’arredamento, offrendo una luce d’atmosfera adatta sia all’uso quotidiano sia a soluzioni decorative più ricercate.</p><p>Sul piano tecnico, il prodotto presenta dimensioni L 330 × H 1970 × P 1200 mm, base 330 × 580 mm, sorgente LED integrata da 76W, alimentazione 220-240 V AC, protezione IP20, classe 1, struttura in metallo, alluminio e materiale plastico e peso netto 19,5 kg, caratteristiche che lo rendono una soluzione pratica e coerente con l’uso quotidiano.</p><p>Le configurazioni disponibili comprendono Bianco 2700K e Nero 2700K, così da scegliere la versione più adatta allo stile dell’ambiente e alle esigenze di illuminazione.</p><p>È indicata per valorizzare soggiorni, camere, studi, zone lettura, ingressi e ambienti contract in cui la luce contribuisce sia al comfort sia all’arredo. La Comfort-2 PT LED è quindi una scelta indicata per chi desidera una lampada da terra Ideal Lux con tecnologia LED, con varianti pensate per armonizzarsi con finiture, materiali e tonalità dell’ambiente.</p>","Lampada da terra Ideal Lux Comfort-2 PT LED in Bianco e Nero: design elegante per soggiorno, camera e ambienti moderni."
"IL-CONFIG-026","<p>La Ideal Lux Cosmo PT1 Lampada Da Terra per Interni è una lampada da terra Ideal Lux dal design curato, ideale per illuminare e arredare ambienti interni con una luce elegante e funzionale. Presenta dimensioni L 175 × H 800 × P 175 mm, base 175 × 175 mm, 1 luce con attacco GX53 e potenza GX53 max 1 × 10W, alimentazione 220-240 V AC, protezione IP55, classe 2, struttura in resina e materiale plastico e peso netto 2,15 kg. Le configurazioni disponibili comprendono Bianco, Grigio e Nero, così da scegliere la versione più adatta allo stile dell’ambiente e alle esigenze di illuminazione.</p>","<p>La Ideal Lux Cosmo PT1 Lampada Da Terra per Interni è una lampada da terra Ideal Lux pensata per offrire un punto luce decorativo e funzionale, capace di completare l’arredo con una presenza elegante e facilmente integrabile in diversi contesti. Il suo design la rende adatta a chi cerca una lampada da terra moderna per illuminare con stile ambienti domestici e professionali.</p><p>La collezione Cosmo valorizza linee, finiture e proporzioni pensate per inserirsi con naturalezza nell’arredamento, offrendo una luce d’atmosfera adatta sia all’uso quotidiano sia a soluzioni decorative più ricercate.</p><p>Sul piano tecnico, il prodotto presenta dimensioni L 175 × H 800 × P 175 mm, base 175 × 175 mm, 1 luce con attacco GX53 e potenza GX53 max 1 × 10W, alimentazione 220-240 V AC, protezione IP55, classe 2, struttura in resina e materiale plastico e peso netto 2,15 kg, caratteristiche che lo rendono una soluzione pratica e coerente con l’uso quotidiano.</p><p>Le configurazioni disponibili comprendono Bianco, Grigio e Nero, così da scegliere la versione più adatta allo stile dell’ambiente e alle esigenze di illuminazione.</p><p>È indicata per valorizzare ingressi, zone living, percorsi interni e, dove previsto dal grado di protezione, anche spazi più esposti o ambienti outdoor protetti. La Cosmo PT1 è quindi una scelta indicata per chi desidera una lampada da terra Ideal Lux con sorgente luminosa selezionabile, con varianti pensate per armonizzarsi con finiture, materiali e tonalità dell’ambiente.</p>","Lampada da terra Ideal Lux Cosmo PT1 GX53 in Bianco, Grigio e Nero: design elegante per soggiorno, camera e ambienti moderni."
"IL-CONFIG-027","<p>La Ideal Lux Craft PT LED Lampada Da Terra per Interni è una lampada da terra Ideal Lux dal design curato, ideale per illuminare e arredare ambienti interni con una luce elegante e funzionale. Presenta dimensioni L 150 × H 1610 × P 220 mm, base 220 × 150 mm, sorgente LED 26W, alimentazione 220-240 V AC, protezione IP20, classe 2, struttura in legno, vetro e metallo e peso netto 3,5 kg. Il configurabile include la variante Legno, mantenendo una proposta chiara e mirata per chi cerca una lampada da terra Ideal Lux dal carattere definito.</p>","<p>La Ideal Lux Craft PT LED Lampada Da Terra per Interni è una lampada da terra Ideal Lux pensata per offrire un punto luce decorativo e funzionale, capace di completare l’arredo con una presenza elegante e facilmente integrabile in diversi contesti. Il suo design la rende adatta a chi cerca una lampada da terra moderna per illuminare con stile ambienti domestici e professionali.</p><p>La collezione Craft valorizza linee, finiture e proporzioni pensate per inserirsi con naturalezza nell’arredamento, offrendo una luce d’atmosfera adatta sia all’uso quotidiano sia a soluzioni decorative più ricercate.</p><p>Sul piano tecnico, il prodotto presenta dimensioni L 150 × H 1610 × P 220 mm, base 220 × 150 mm, sorgente LED 26W, alimentazione 220-240 V AC, protezione IP20, classe 2, struttura in legno, vetro e metallo e peso netto 3,5 kg, caratteristiche che lo rendono una soluzione pratica e coerente con l’uso quotidiano.</p><p>Il configurabile include la variante Legno, mantenendo una proposta chiara e mirata per chi cerca una lampada da terra Ideal Lux dal carattere definito.</p><p>È indicata per valorizzare soggiorni, camere, studi, zone lettura, ingressi e ambienti contract in cui la luce contribuisce sia al comfort sia all’arredo. La Craft PT LED è quindi una scelta indicata per chi desidera una lampada da terra Ideal Lux con tecnologia LED, con varianti pensate per armonizzarsi con finiture, materiali e tonalità dell’ambiente.</p>","Lampada da terra Ideal Lux Craft PT LED in Legno: design elegante per soggiorno, camera e ambienti moderni."
"IL-CONFIG-028","<p>La Ideal Lux Cylinder PT2 Lampada Da Terra per Interni è una lampada da terra Ideal Lux dal design curato, ideale per illuminare e arredare ambienti interni con una luce elegante e funzionale. Presenta dimensioni D 400 × H 1750 mm, base D 300 mm, 2 luci con attacco E27 e potenza E27 max 2 × 60W, alimentazione 220-240 V AC, protezione IP20, classe 2, struttura in metallo e vetro e peso netto 10,01 kg. Il configurabile include la variante Bianco, mantenendo una proposta chiara e mirata per chi cerca una lampada da terra Ideal Lux dal carattere definito.</p>","<p>La Ideal Lux Cylinder PT2 Lampada Da Terra per Interni è una lampada da terra Ideal Lux pensata per offrire un punto luce decorativo e funzionale, capace di completare l’arredo con una presenza elegante e facilmente integrabile in diversi contesti. Il suo design la rende adatta a chi cerca una lampada da terra moderna per illuminare con stile ambienti domestici e professionali.</p><p>La collezione Cylinder si distingue per una costruzione curata: Base in metallo verniciato bianco opaco. Diffusore in vetro soffiato bianco incamiciato e acidato. Questo dettaglio contribuisce a definire una lampada solida, piacevole da vedere e coerente con lo stile contemporaneo di Ideal Lux.</p><p>Sul piano tecnico, il prodotto presenta dimensioni D 400 × H 1750 mm, base D 300 mm, 2 luci con attacco E27 e potenza E27 max 2 × 60W, alimentazione 220-240 V AC, protezione IP20, classe 2, struttura in metallo e vetro e peso netto 10,01 kg, caratteristiche che lo rendono una soluzione pratica e coerente con l’uso quotidiano.</p><p>Il configurabile include la variante Bianco, mantenendo una proposta chiara e mirata per chi cerca una lampada da terra Ideal Lux dal carattere definito.</p><p>È indicata per valorizzare soggiorni, camere, studi, zone lettura, ingressi e ambienti contract in cui la luce contribuisce sia al comfort sia all’arredo. La Cylinder PT2 è quindi una scelta indicata per chi desidera una lampada da terra Ideal Lux con sorgente luminosa selezionabile, con varianti pensate per armonizzarsi con finiture, materiali e tonalità dell’ambiente.</p>","Lampada da terra Ideal Lux Cylinder PT2 E27 in Bianco: design elegante per soggiorno, camera e ambienti moderni."
"IL-CONFIG-029","<p>La Ideal Lux Daddy PT1 Lampada Da Terra per Interni è una lampada da terra Ideal Lux dal design curato, ideale per illuminare e arredare ambienti interni con una luce elegante e funzionale. Presenta dimensioni L 1180 × H 1970 × P 400 mm, base D 340 mm, 1 luce con attacco E27 e potenza E27 max 1 × 60W, alimentazione 220-240 V AC, protezione IP20, classe 2, struttura in metallo e tessuto e peso netto 7,25 kg. Le configurazioni disponibili comprendono Bianco e Nero, così da scegliere la versione più adatta allo stile dell’ambiente e alle esigenze di illuminazione.</p>","<p>La Ideal Lux Daddy PT1 Lampada Da Terra per Interni è una lampada da terra Ideal Lux pensata per offrire un punto luce decorativo e funzionale, capace di completare l’arredo con una presenza elegante e facilmente integrabile in diversi contesti. Il suo design la rende adatta a chi cerca una lampada da terra moderna per illuminare con stile ambienti domestici e professionali.</p><p>La collezione Daddy si distingue per una costruzione curata: Montatura in metallo. Disponibile in nero e bianco opaco con paralume rivestito in tessuto. Questo dettaglio contribuisce a definire una lampada solida, piacevole da vedere e coerente con lo stile contemporaneo di Ideal Lux.</p><p>Sul piano tecnico, il prodotto presenta dimensioni L 1180 × H 1970 × P 400 mm, base D 340 mm, 1 luce con attacco E27 e potenza E27 max 1 × 60W, alimentazione 220-240 V AC, protezione IP20, classe 2, struttura in metallo e tessuto e peso netto 7,25 kg, caratteristiche che lo rendono una soluzione pratica e coerente con l’uso quotidiano.</p><p>Le configurazioni disponibili comprendono Bianco e Nero, così da scegliere la versione più adatta allo stile dell’ambiente e alle esigenze di illuminazione.</p><p>È indicata per valorizzare soggiorni, camere, studi, zone lettura, ingressi e ambienti contract in cui la luce contribuisce sia al comfort sia all’arredo. La Daddy PT1 è quindi una scelta indicata per chi desidera una lampada da terra Ideal Lux con sorgente luminosa selezionabile, con varianti pensate per armonizzarsi con finiture, materiali e tonalità dell’ambiente.</p>","Lampada da terra Ideal Lux Daddy PT1 E27 in Bianco e Nero: design elegante per soggiorno, camera e ambienti moderni."
"IL-CONFIG-030","<p>La Ideal Lux Dafne PT1 Lampada Da Terra per Interni è una lampada da terra Ideal Lux dal design curato, ideale per illuminare e arredare ambienti interni con una luce elegante e funzionale. Presenta dimensioni D 220 × H 1100 mm, base D 150 mm, 1 luce con attacco E27 e potenza E27 max 1 × 23W, alimentazione 220-240 V AC, protezione IP55, classe 2, struttura in resina e materiale plastico e peso netto 2,5 kg. Le configurazioni disponibili comprendono Bianco e Nero, così da scegliere la versione più adatta allo stile dell’ambiente e alle esigenze di illuminazione.</p>","<p>La Ideal Lux Dafne PT1 Lampada Da Terra per Interni è una lampada da terra Ideal Lux pensata per offrire un punto luce decorativo e funzionale, capace di completare l’arredo con una presenza elegante e facilmente integrabile in diversi contesti. Il suo design la rende adatta a chi cerca una lampada da terra moderna per illuminare con stile ambienti domestici e professionali.</p><p>La collezione Dafne valorizza linee, finiture e proporzioni pensate per inserirsi con naturalezza nell’arredamento, offrendo una luce d’atmosfera adatta sia all’uso quotidiano sia a soluzioni decorative più ricercate.</p><p>Sul piano tecnico, il prodotto presenta dimensioni D 220 × H 1100 mm, base D 150 mm, 1 luce con attacco E27 e potenza E27 max 1 × 23W, alimentazione 220-240 V AC, protezione IP55, classe 2, struttura in resina e materiale plastico e peso netto 2,5 kg, caratteristiche che lo rendono una soluzione pratica e coerente con l’uso quotidiano.</p><p>Le configurazioni disponibili comprendono Bianco e Nero, così da scegliere la versione più adatta allo stile dell’ambiente e alle esigenze di illuminazione.</p><p>È indicata per valorizzare ingressi, zone living, percorsi interni e, dove previsto dal grado di protezione, anche spazi più esposti o ambienti outdoor protetti. La Dafne PT1 è quindi una scelta indicata per chi desidera una lampada da terra Ideal Lux con sorgente luminosa selezionabile, con varianti pensate per armonizzarsi con finiture, materiali e tonalità dell’ambiente.</p>","Lampada da terra Ideal Lux Dafne PT1 E27 in Bianco e Nero: design elegante per soggiorno, camera e ambienti moderni."
"IL-CONFIG-031","<p>La Ideal Lux Diesis PT LED Lampada Da Terra per Interni è una lampada da terra Ideal Lux dal design curato, ideale per illuminare e arredare ambienti interni con una luce elegante e funzionale. Presenta dimensioni L 280 × H 1510 × P 450 mm, base D 280 mm, sorgente LED 4,5W, alimentazione 220-240 V AC, protezione IP20, classe 2, struttura in metallo e peso netto 3,5 kg. Le configurazioni disponibili comprendono Nero, Nickel e Ottone, così da scegliere la versione più adatta allo stile dell’ambiente e alle esigenze di illuminazione.</p>","<p>La Ideal Lux Diesis PT LED Lampada Da Terra per Interni è una lampada da terra Ideal Lux pensata per offrire un punto luce decorativo e funzionale, capace di completare l’arredo con una presenza elegante e facilmente integrabile in diversi contesti. Il suo design la rende adatta a chi cerca una lampada da terra moderna per illuminare con stile ambienti domestici e professionali.</p><p>La collezione Diesis valorizza linee, finiture e proporzioni pensate per inserirsi con naturalezza nell’arredamento, offrendo una luce d’atmosfera adatta sia all’uso quotidiano sia a soluzioni decorative più ricercate.</p><p>Sul piano tecnico, il prodotto presenta dimensioni L 280 × H 1510 × P 450 mm, base D 280 mm, sorgente LED 4,5W, alimentazione 220-240 V AC, protezione IP20, classe 2, struttura in metallo e peso netto 3,5 kg, caratteristiche che lo rendono una soluzione pratica e coerente con l’uso quotidiano.</p><p>Le configurazioni disponibili comprendono Nero, Nickel e Ottone, così da scegliere la versione più adatta allo stile dell’ambiente e alle esigenze di illuminazione.</p><p>È indicata per valorizzare soggiorni, camere, studi, zone lettura, ingressi e ambienti contract in cui la luce contribuisce sia al comfort sia all’arredo. La Diesis PT LED è quindi una scelta indicata per chi desidera una lampada da terra Ideal Lux con tecnologia LED, con varianti pensate per armonizzarsi con finiture, materiali e tonalità dell’ambiente.</p>","Lampada da terra Ideal Lux Diesis PT LED in Nero, Nickel e Ottone: design elegante per soggiorno, camera e ambienti moderni."
"IL-CONFIG-032","<p>La Ideal Lux Dodo PT1 Lampada Da Terra per Interni è una lampada da terra Ideal Lux dal design curato, ideale per illuminare e arredare ambienti interni con una luce elegante e funzionale. Presenta dimensioni L 200 × H 1180 × P 200 mm, base D 200 mm, 1 luce con attacco GX53 e potenza GX53 max 1 × 9W, alimentazione 220-240 V AC, protezione IP20, classe 2, struttura in metallo e alluminio e peso netto 2,2 kg. Le configurazioni disponibili comprendono Bianco, Nero e Ottone, così da scegliere la versione più adatta allo stile dell’ambiente e alle esigenze di illuminazione.</p>","<p>La Ideal Lux Dodo PT1 Lampada Da Terra per Interni è una lampada da terra Ideal Lux pensata per offrire un punto luce decorativo e funzionale, capace di completare l’arredo con una presenza elegante e facilmente integrabile in diversi contesti. Il suo design la rende adatta a chi cerca una lampada da terra moderna per illuminare con stile ambienti domestici e professionali.</p><p>La collezione Dodo valorizza linee, finiture e proporzioni pensate per inserirsi con naturalezza nell’arredamento, offrendo una luce d’atmosfera adatta sia all’uso quotidiano sia a soluzioni decorative più ricercate.</p><p>Sul piano tecnico, il prodotto presenta dimensioni L 200 × H 1180 × P 200 mm, base D 200 mm, 1 luce con attacco GX53 e potenza GX53 max 1 × 9W, alimentazione 220-240 V AC, protezione IP20, classe 2, struttura in metallo e alluminio e peso netto 2,2 kg, caratteristiche che lo rendono una soluzione pratica e coerente con l’uso quotidiano.</p><p>Le configurazioni disponibili comprendono Bianco, Nero e Ottone, così da scegliere la versione più adatta allo stile dell’ambiente e alle esigenze di illuminazione.</p><p>È indicata per valorizzare soggiorni, camere, studi, zone lettura, ingressi e ambienti contract in cui la luce contribuisce sia al comfort sia all’arredo. La Dodo PT1 è quindi una scelta indicata per chi desidera una lampada da terra Ideal Lux con sorgente luminosa selezionabile, con varianti pensate per armonizzarsi con finiture, materiali e tonalità dell’ambiente.</p>","Lampada da terra Ideal Lux Dodo PT1 GX53 in Bianco, Nero e Ottone: design elegante per soggiorno, camera e ambienti moderni."
"IL-CONFIG-033","<p>La Ideal Lux Dorica PT1 LED Lampada Da Terra per Interni è una lampada da terra Ideal Lux dal design curato, ideale per illuminare e arredare ambienti interni con una luce elegante e funzionale. Presenta dimensioni D 250 × H 1900 mm, base D 250 mm, sorgente LED 50W, alimentazione 220-240 V AC, protezione IP20, classe 2, struttura in metallo e alluminio e peso netto 5 kg. Le varianti disponibili permettono di scegliere tra finiture Acciaio, Arancione, Bianco, Blu, Bronzo, Grigio, Nero, Ottone e Rame, coprendo diverse esigenze estetiche e funzionali senza rinunciare alla coerenza della collezione.</p>","<p>La Ideal Lux Dorica PT1 LED Lampada Da Terra per Interni è una lampada da terra Ideal Lux pensata per offrire un punto luce decorativo e funzionale, capace di completare l’arredo con una presenza elegante e facilmente integrabile in diversi contesti. Il suo design la rende adatta a chi cerca una lampada da terra moderna per illuminare con stile ambienti domestici e professionali.</p><p>La collezione Dorica valorizza linee, finiture e proporzioni pensate per inserirsi con naturalezza nell’arredamento, offrendo una luce d’atmosfera adatta sia all’uso quotidiano sia a soluzioni decorative più ricercate.</p><p>Sul piano tecnico, il prodotto presenta dimensioni D 250 × H 1900 mm, base D 250 mm, sorgente LED 50W, alimentazione 220-240 V AC, protezione IP20, classe 2, struttura in metallo e alluminio e peso netto 5 kg, caratteristiche che lo rendono una soluzione pratica e coerente con l’uso quotidiano.</p><p>Le varianti disponibili permettono di scegliere tra finiture Acciaio, Arancione, Bianco, Blu, Bronzo, Grigio, Nero, Ottone e Rame, coprendo diverse esigenze estetiche e funzionali senza rinunciare alla coerenza della collezione.</p><p>È indicata per valorizzare soggiorni, camere, studi, zone lettura, ingressi e ambienti contract in cui la luce contribuisce sia al comfort sia all’arredo. La Dorica PT1 LED è quindi una scelta indicata per chi desidera una lampada da terra Ideal Lux con tecnologia LED, con varianti pensate per armonizzarsi con finiture, materiali e tonalità dell’ambiente.</p>","Lampada da terra Ideal Lux Dorica PT1 LED: design elegante per soggiorno, camera e ambienti moderni."
"IL-CONFIG-034","<p>La Ideal Lux Dorica PT3 LED Lampada Da Terra per Interni è una lampada da terra Ideal Lux dal design curato, ideale per illuminare e arredare ambienti interni con una luce elegante e funzionale. Presenta dimensioni D 300 × H 1900 mm, base D 300 mm, sorgente LED 66W, alimentazione 220-240 V AC, protezione IP20, classe 2, struttura in metallo e alluminio e peso netto 9,3 kg. Le configurazioni disponibili comprendono Bianco, Nero e Ottone, così da scegliere la versione più adatta allo stile dell’ambiente e alle esigenze di illuminazione.</p>","<p>La Ideal Lux Dorica PT3 LED Lampada Da Terra per Interni è una lampada da terra Ideal Lux pensata per offrire un punto luce decorativo e funzionale, capace di completare l’arredo con una presenza elegante e facilmente integrabile in diversi contesti. Il suo design la rende adatta a chi cerca una lampada da terra moderna per illuminare con stile ambienti domestici e professionali.</p><p>La collezione Dorica valorizza linee, finiture e proporzioni pensate per inserirsi con naturalezza nell’arredamento, offrendo una luce d’atmosfera adatta sia all’uso quotidiano sia a soluzioni decorative più ricercate.</p><p>Sul piano tecnico, il prodotto presenta dimensioni D 300 × H 1900 mm, base D 300 mm, sorgente LED 66W, alimentazione 220-240 V AC, protezione IP20, classe 2, struttura in metallo e alluminio e peso netto 9,3 kg, caratteristiche che lo rendono una soluzione pratica e coerente con l’uso quotidiano.</p><p>Le configurazioni disponibili comprendono Bianco, Nero e Ottone, così da scegliere la versione più adatta allo stile dell’ambiente e alle esigenze di illuminazione.</p><p>È indicata per valorizzare soggiorni, camere, studi, zone lettura, ingressi e ambienti contract in cui la luce contribuisce sia al comfort sia all’arredo. La Dorica PT3 LED è quindi una scelta indicata per chi desidera una lampada da terra Ideal Lux con tecnologia LED, con varianti pensate per armonizzarsi con finiture, materiali e tonalità dell’ambiente.</p>","Lampada da terra Ideal Lux Dorica PT3 LED in Bianco, Nero e Ottone: design elegante per soggiorno, camera e ambienti moderni."
"IL-CONFIG-035","<p>La Ideal Lux Doris PT1 D30 Lampada Da Terra per Interni è una lampada da terra Ideal Lux dal design curato, ideale per illuminare e arredare ambienti interni con una luce elegante e funzionale. Presenta dimensioni D 300 × H 300 mm, base D 120 mm, 1 luce con attacco E27 e potenza E27 max 1 × 60W, alimentazione 220-240 V AC, protezione IP44, classe 2, struttura in materiale plastico e peso netto 1,21 kg. Il configurabile include la variante Bianco, mantenendo una proposta chiara e mirata per chi cerca una lampada da terra Ideal Lux dal carattere definito.</p>","<p>La Ideal Lux Doris PT1 D30 Lampada Da Terra per Interni è una lampada da terra Ideal Lux pensata per offrire un punto luce decorativo e funzionale, capace di completare l’arredo con una presenza elegante e facilmente integrabile in diversi contesti. Il suo design la rende adatta a chi cerca una lampada da terra moderna per illuminare con stile ambienti domestici e professionali.</p><p>La collezione Doris si distingue per una costruzione curata: Diffusore in materiale plastico grigio melange effetto granito. Fornito con spina e picchetto per fissaggio nel terreno. Questo dettaglio contribuisce a definire una lampada solida, piacevole da vedere e coerente con lo stile contemporaneo di Ideal Lux.</p><p>Sul piano tecnico, il prodotto presenta dimensioni D 300 × H 300 mm, base D 120 mm, 1 luce con attacco E27 e potenza E27 max 1 × 60W, alimentazione 220-240 V AC, protezione IP44, classe 2, struttura in materiale plastico e peso netto 1,21 kg, caratteristiche che lo rendono una soluzione pratica e coerente con l’uso quotidiano.</p><p>Il configurabile include la variante Bianco, mantenendo una proposta chiara e mirata per chi cerca una lampada da terra Ideal Lux dal carattere definito.</p><p>È indicata per valorizzare ingressi, zone living, percorsi interni e, dove previsto dal grado di protezione, anche spazi più esposti o ambienti outdoor protetti. La Doris PT1 D30 è quindi una scelta indicata per chi desidera una lampada da terra Ideal Lux con sorgente luminosa selezionabile, con varianti pensate per armonizzarsi con finiture, materiali e tonalità dell’ambiente.</p>","Lampada da terra Ideal Lux Doris PT1 D30 E27 in Bianco: design elegante per soggiorno, camera e ambienti moderni."
"IL-CONFIG-036","<p>La Ideal Lux Doris PT1 D48 Lampada Da Terra per Interni è una lampada da terra Ideal Lux dal design curato, ideale per illuminare e arredare ambienti interni con una luce elegante e funzionale. Presenta dimensioni D 480 × H 485 mm, base D 120 mm, 1 luce con attacco E27 e potenza E27 max 1 × 60W, alimentazione 220-240 V AC, protezione IP44, classe 2, struttura in materiale plastico e peso netto 3 kg. Il configurabile include la variante Bianco, mantenendo una proposta chiara e mirata per chi cerca una lampada da terra Ideal Lux dal carattere definito.</p>","<p>La Ideal Lux Doris PT1 D48 Lampada Da Terra per Interni è una lampada da terra Ideal Lux pensata per offrire un punto luce decorativo e funzionale, capace di completare l’arredo con una presenza elegante e facilmente integrabile in diversi contesti. Il suo design la rende adatta a chi cerca una lampada da terra moderna per illuminare con stile ambienti domestici e professionali.</p><p>La collezione Doris si distingue per una costruzione curata: Diffusore in materiale plastico grigio melange effetto granito. Fornito con spina e picchetto per fissaggio nel terreno. Questo dettaglio contribuisce a definire una lampada solida, piacevole da vedere e coerente con lo stile contemporaneo di Ideal Lux.</p><p>Sul piano tecnico, il prodotto presenta dimensioni D 480 × H 485 mm, base D 120 mm, 1 luce con attacco E27 e potenza E27 max 1 × 60W, alimentazione 220-240 V AC, protezione IP44, classe 2, struttura in materiale plastico e peso netto 3 kg, caratteristiche che lo rendono una soluzione pratica e coerente con l’uso quotidiano.</p><p>Il configurabile include la variante Bianco, mantenendo una proposta chiara e mirata per chi cerca una lampada da terra Ideal Lux dal carattere definito.</p><p>È indicata per valorizzare ingressi, zone living, percorsi interni e, dove previsto dal grado di protezione, anche spazi più esposti o ambienti outdoor protetti. La Doris PT1 D48 è quindi una scelta indicata per chi desidera una lampada da terra Ideal Lux con sorgente luminosa selezionabile, con varianti pensate per armonizzarsi con finiture, materiali e tonalità dell’ambiente.</p>","Lampada da terra Ideal Lux Doris PT1 D48 E27 in Bianco: design elegante per soggiorno, camera e ambienti moderni."
"IL-CONFIG-037","<p>La Ideal Lux Doris PT1 D58 Lampada Da Terra per Interni è una lampada da terra Ideal Lux dal design curato, ideale per illuminare e arredare ambienti interni con una luce elegante e funzionale. Presenta dimensioni D 580 × H 590 mm, base D 120 mm, 1 luce con attacco E27 e potenza E27 max 1 × 60W, alimentazione 220-240 V AC, protezione IP44, classe 2, struttura in materiale plastico e peso netto 4,05 kg. Il configurabile include la variante Bianco, mantenendo una proposta chiara e mirata per chi cerca una lampada da terra Ideal Lux dal carattere definito.</p>","<p>La Ideal Lux Doris PT1 D58 Lampada Da Terra per Interni è una lampada da terra Ideal Lux pensata per offrire un punto luce decorativo e funzionale, capace di completare l’arredo con una presenza elegante e facilmente integrabile in diversi contesti. Il suo design la rende adatta a chi cerca una lampada da terra moderna per illuminare con stile ambienti domestici e professionali.</p><p>La collezione Doris si distingue per una costruzione curata: Diffusore in materiale plastico grigio melange effetto granito. Fornito con spina e picchetto per fissaggio nel terreno. Questo dettaglio contribuisce a definire una lampada solida, piacevole da vedere e coerente con lo stile contemporaneo di Ideal Lux.</p><p>Sul piano tecnico, il prodotto presenta dimensioni D 580 × H 590 mm, base D 120 mm, 1 luce con attacco E27 e potenza E27 max 1 × 60W, alimentazione 220-240 V AC, protezione IP44, classe 2, struttura in materiale plastico e peso netto 4,05 kg, caratteristiche che lo rendono una soluzione pratica e coerente con l’uso quotidiano.</p><p>Il configurabile include la variante Bianco, mantenendo una proposta chiara e mirata per chi cerca una lampada da terra Ideal Lux dal carattere definito.</p><p>È indicata per valorizzare ingressi, zone living, percorsi interni e, dove previsto dal grado di protezione, anche spazi più esposti o ambienti outdoor protetti. La Doris PT1 D58 è quindi una scelta indicata per chi desidera una lampada da terra Ideal Lux con sorgente luminosa selezionabile, con varianti pensate per armonizzarsi con finiture, materiali e tonalità dell’ambiente.</p>","Lampada da terra Ideal Lux Doris PT1 D58 E27 in Bianco: design elegante per soggiorno, camera e ambienti moderni."
"IL-CONFIG-038","<p>La Ideal Lux Doris PT1 D78 Lampada Da Terra per Interni è una lampada da terra Ideal Lux dal design curato, ideale per illuminare e arredare ambienti interni con una luce elegante e funzionale. Presenta dimensioni D 780 × H 780 mm, base D 120 mm, 1 luce con attacco E27 e potenza E27 max 1 × 60W, alimentazione 220-240 V AC, protezione IP44, classe 2, struttura in materiale plastico e peso netto 7,6 kg. Il configurabile include la variante Bianco, mantenendo una proposta chiara e mirata per chi cerca una lampada da terra Ideal Lux dal carattere definito.</p>","<p>La Ideal Lux Doris PT1 D78 Lampada Da Terra per Interni è una lampada da terra Ideal Lux pensata per offrire un punto luce decorativo e funzionale, capace di completare l’arredo con una presenza elegante e facilmente integrabile in diversi contesti. Il suo design la rende adatta a chi cerca una lampada da terra moderna per illuminare con stile ambienti domestici e professionali.</p><p>La collezione Doris si distingue per una costruzione curata: Diffusore in materiale plastico grigio melange effetto granito. Fornito con spina e picchetto per fissaggio nel terreno. Questo dettaglio contribuisce a definire una lampada solida, piacevole da vedere e coerente con lo stile contemporaneo di Ideal Lux.</p><p>Sul piano tecnico, il prodotto presenta dimensioni D 780 × H 780 mm, base D 120 mm, 1 luce con attacco E27 e potenza E27 max 1 × 60W, alimentazione 220-240 V AC, protezione IP44, classe 2, struttura in materiale plastico e peso netto 7,6 kg, caratteristiche che lo rendono una soluzione pratica e coerente con l’uso quotidiano.</p><p>Il configurabile include la variante Bianco, mantenendo una proposta chiara e mirata per chi cerca una lampada da terra Ideal Lux dal carattere definito.</p><p>È indicata per valorizzare ingressi, zone living, percorsi interni e, dove previsto dal grado di protezione, anche spazi più esposti o ambienti outdoor protetti. La Doris PT1 D78 è quindi una scelta indicata per chi desidera una lampada da terra Ideal Lux con sorgente luminosa selezionabile, con varianti pensate per armonizzarsi con finiture, materiali e tonalità dell’ambiente.</p>","Lampada da terra Ideal Lux Doris PT1 D78 E27 in Bianco: design elegante per soggiorno, camera e ambienti moderni."
